category,Description
Pois chiches en conserve,Légumineuses en conserve
Haricots verts plats,Haricots verts plats surgelés
Haricots verts plats,Haricots verts plats en conserve
Légumes préparés,Légumes surgelés
Légumes préparés,Légumes en conserve
Plats préparés d'origine végétale,Plats préparés en conserve
Plats préparés d'origine végétale,Pâtes farcies au fromage
Plats préparés d'origine végétale,Soupes minestrone
Plats préparés d'origine végétale,Plats préparés surgelés
Plats préparés d'origine végétale,Plats préparés à réchauffer au micro ondes
Plats préparés d'origine végétale,Légumes préparés
Plats préparés d'origine végétale,Plats préparés
Plats préparés d'origine végétale,Plats à base de lentilles
Plats préparés d'origine végétale,Veloutés de légumes
Macédoines de légumes,Entrées froides
Pois chiches,Légumineuses sèches
Petits pois en conserve,Petits pois
Courgettes cuisinées,Courgettes
Ratatouilles,Légumes préparés
Ratatouilles,Mélanges de légumes
Ratatouilles,Plats préparés en conserve
Ratatouilles,Plats préparés réfrigérés
Bretzels,Biscuits apéritifs
Bretzels,Pains spéciaux
Salades composées,Plats préparés au poisson
Salades composées,Plats préparés
Salades composées,Plats à base de pâtes
Thons blancs au naturel,Thons entiers
Thons blancs au naturel,Thons au naturel
Thons blancs au naturel,Tuna in brine
Thons blancs au naturel,Thons albacore
Thons à l'huile,Thons en conserve
Emietté de thon,Thons en conserve
Thons entiers,Thons au naturel
Thons entiers,Thons à l'huile de tournesol
Thons entiers,Thons en conserve
Miettes de thon,Thons à l'huile d'olive
Miettes de thon,Thons en conserve
Thons à l'huile de tournesol,Thons à l'huile
Thons à l'huile de tournesol,Miettes de thon
Thon germon à l'huile d'olive,Thons blancs
Rillettes de thon,Rillettes de poissons
Sardines à l'huile d'olive,Sardines à l'huile
Sardines à l'huile de tournesol,Sardines à l'huile
Sardines à l'huile de tournesol,Sardines à l'huile et au piment
Sardines à la tomate,Sardines à l'huile d'olive
Sardines à la tomate,Sardines en conserve
Sardines à la tomate,Filets de sardines
Sardines à la tomate,Sardines à l'huile de tournesol
Sardines à la tomate,Sardines à l'huile
Thons albacore au naturel,Yellowfin tunas
Thons albacore au naturel,Thons albacore
Thons blancs,Thons à l'huile d'olive
Thons albacore,Thons entiers
Thons albacore,Thons au naturel
Thons albacore,Thons tropicaux
Thons au naturel,Filets de thon
Thons au naturel,Thons
Thons au naturel,Thons en conserve
Thons au naturel,Thons listao
Thons en conserve,Thons
Thons à l'huile d'olive,Thons à l'huile
Maquereaux en conserve,Filets de maquereaux à la moutarde
Maquereaux en conserve,Filets de maquereaux tomate basilic
Maquereaux en conserve,Filets de maquereaux à l'escabeche
Maquereaux en conserve,Filets de maquereaux
Maquereaux en conserve,Filets de maquereaux à l'huile d'olive
Maquereaux en conserve,Filets de maquereaux citron olive
Maquereaux en conserve,Filets de maquereaux au vin blanc et aromates
Maquereaux en conserve,Filets de maquereaux natures
Filets de maquereaux grillés,Filets de maquereaux
Filets de maquereaux grillés,Maquereaux en conserve
Filets de maquereaux,Poissons fumés
Filets de maquereaux,Maquereaux
Thons,Poissons gras
Sardines,Sardines
Sardines,Poissons gras
Rillettes de saumon,Rillettes de poissons
Filets de maquereaux à l'huile d'olive,Filets de maquereaux à l'huile
Prepared meats with less salt,Products with reduced salt
Cannelloni au boeuf,Plats préparés en conserve
Chili con carne,Plats préparés à réchauffer au micro ondes
Chili con carne,Plats préparés en conserve
Chili con carne,Plats préparés à la viande
Chili con carne,Plats au bœuf
Sauces tomate,Sauces pour pâtes
Sauces tomate,Sauces
Sauces provençales,Sauces tomate
Tomates en conserve,Tomates
Légumineuses sèches,Graines de légumineuses
Légumineuses sèches,Plats préparés
Légumineuses sèches,Légumes et dérivés
Légumineuses sèches,Légumes en conserve
Hachis parmentier,Plats au bœuf
Hachis parmentier,Plats préparés surgelés
Hachis parmentier,Plats préparés surgelés à la viande
Hachis parmentier,Plats préparés à réchauffer au micro ondes
Hachis parmentier,Plats préparés réfrigérés
Ravioli en conserve,Ravioli à la bolognaise
Ravioli en conserve,Raviolis aux légumes
Ravioli en conserve,Plats préparés en conserve
Ravioli en conserve,Raviolis au bœuf
Parmentiers de canard,Plats préparés à réchauffer au micro ondes
Parmentiers de canard,Plats au canard
Poulets basquaise,Plats préparés à réchauffer au micro ondes
Poulets basquaise,Plats au poulet
Raviolis au bœuf,Plats préparés à réchauffer au micro ondes
Raviolis au bœuf,Ravioli à la viande
Cassoulets toulousains,Cassoulets
Saucisses aux lentilles,Plats à base de lentilles
Prepared lentils,Microwave meals
Prepared lentils,Lentil dishes
Prepared lentils,Cooked lentils
Lentilles,Légumineuses sèches
Compotes pommes poires,Compotes de pomme
Compotes pommes poires,Desserts de fruits
Compotes pommes poires,Compotes à boire
Compotes pommes poires,Purée de fruits sans sucres ajoutés
Compotes de pomme,Compotes
Compote de fruits allégée en sucres rayon frais,Compote de fruits allégée en sucres
Compotes pommes pruneau,Compotes de pomme
Compotes pommes pruneau,Compotes allégées
Compotes pommes pruneau,Purée de fruits sans sucres ajoutés
Compotes sans sucres,Compotes de pomme
Compotes sans sucres,Dès 6 mois
Compotes sans sucres,Compotes de poire
Compotes sans sucres,Compotes pommes mangue
Compotes sans sucres,Compotes pommes coing
Compotes sans sucres,Compotes pommes framboise
Compotes sans sucres,Compotes de pêche
Compotes sans sucres,Compotes
Apple compotes,Compotes
Compotes allégées,Compotes pommes nature
Compotes allégées,Compotes de pomme
Compotes allégées,Compotes à boire
Dessert végétal,Desserts au chocolat
Compotes à boire,Compotes de pomme
Compotes à boire,Compotes pommes abricot
Compotes à boire,Compotes pommes nature
Compotes à boire,Compotes pommes banane
Compotes à boire,Compotes
Compotes pommes châtaigne,Compotes de pomme
Compotes pommes fraise,Compotes de pomme
Compotes pommes fraise,Compotes pommes poires
Compotes pommes fraise,Dès 6 mois
Compotes pommes fraise,Compotes à boire
Compotes pommes fraise,Purée de fruits sans sucres ajoutés
Compotes de pomme mirabelle,Compotes à boire
Compotes,Desserts lactés
Compotes,Fruits et produits dérivés
Confitures de cassis,Confitures de fruits rouges
Confitures de fraises,Fraises
Confitures de fraises,Confiture de fruits allégée en sucres
Confitures de fraises,Confitures diététiques
Confitures de fraises,Confitures de fruits rouges
Confiture de fruits allégée en sucres,Confitures de myrtilles
Confiture de fruits allégée en sucres,Confitures d'abricot
Compotes pomme nature bio,Compotes à boire
Spécialités de fruits,Compotes de pomme
Compotes pommes nature,Compotes de pomme
Compotes pommes prune,Compotes pommes cerise
Compote variety packs,Compotes
Red wines,Wines
Dry white wines,White wines
Vins,Boissons alcoolisées
Maïs doux en conserve,Maïs en conserve
Roqueforts,Fromages de brebis
Roqueforts,Fromages industriels
Fromages de brebis,Fromages de France
Fromages de brebis,Fromages
Fromages de brebis,Cheeses
Fromages de brebis,Fromages pasteurisés
Fromages,Käse
Fromages,Produits laitiers fermentés
Fromages,Sheep's milk cheeses
Camemberts de Normandie,Camemberts au lait cru de vache
Tomme de brebis,Tomme cheese from cow's milk
Tomme de brebis,Tommes
Ossau Iraty cheeses,Sheep's milk cheeses
Feta type cheese,Sheep's milk cheeses
Roquefort cheeses,Sheep's milk cheeses
Fromages en tranches,Fromages
Fromages en tranches,Mozzarella
Fromages en tranches,Fromages à pâte fondue
Fromages en tranches,Fromages pasteurisés
Fromages en tranches,Emmentals français
Fromages en tranches,Raclettes
Fromages en tranches,Goudas
Palets,Gluten free biscuits
Palets,Fromages panés
Palets,Galettes végétariennes
Palets,Palets de légumes préfrits surgelés
Palets,Biscuits sablés
Yaourts à la grecque,Yaourts aux fruits
Yaourts à la grecque,Yaourts vanille
Yaourts à la grecque,Yaourts aux copeaux de chocolat
Yaourts à la grecque,Yaourts
Yaourts à la grecque,Yaourts à la mûre
Yaourts à la grecque,Yaourts aromatisés
Yaourts à la grecque,Yaourts au lait de vache
Desserts lactés,Desserts
Desserts lactés,Snacks sucrés
Crèmes dessert chocolat réfrigérées,Liégeois
Crèmes dessert chocolat réfrigérées,Crèmes dessert en conserve
Crèmes dessert chocolat réfrigérées,Crèmes dessert rayon frais
Crèmes dessert chocolat réfrigérées,Desserts lactés au chocolat
Mousses lactées,Mousses aux marrons
Mousses lactées,Mousses sucrées
Mousses lactées,Chocolate mousses
Mousses lactées,Desserts au café
Mousses lactées,Desserts lactés au chocolat
Mousses au chocolat noir,Mousses au chocolat
Mousses au chocolat noir,Desserts lactés au chocolat
Desserts lactés au caramel,Desserts au caramel
Flans gélifiés,Frais
Flans gélifiés,Desserts lactés
Flans,Dairy desserts
Yaourts aromatisés,Laits emprésurés au caramel
Yaourts aromatisés,Yaourts sucrés
Yaourts aromatisés,Desserts lactés fermentés aux fruits édulcorés sans matière grasse enrichis en vitamine D
Yaourts aromatisés,Yaourts vanille
Yaourts aromatisés,Yaourts au lait de vache
Yaourts aromatisés,Yaourts à boire
Skyrs nature,Fromages à la crème
Skyrs nature,Desserts lactés fermentés nature sans matière grasse
Skyrs nature,Skyrs
Skyrs aux fruits,Skyrs
Desserts lactés fermentés,Desserts lactés
Crèmes caramel aux œufs,Crèmes aux œufs
Crèmes dessert chocolat noir,Crèmes chocolat aux œufs
Crèmes dessert chocolat noir,Crèmes dessert chocolat réfrigérées
Crèmes vanille aux œufs,Crèmes aux œufs
Semoules au lait,Réfrigérés
Semoules au lait,Desserts lactés
Semoules au lait,Dès 6 mois
Riz au lait saveur vanille,Riz au lait
Riz au lait,Puddings
Fromages à la crème,Fromages blancs
Fromages à la crème,Petits suisses
Fromages à la crème,Yaourts
Fromages à la crème,Fromages à tartiner
Fromages à la crème,Petits suisses nature
Fromages à la crème,Skyrs
Yaourts à la framboise,Yaourts aux fruits
Yaourts à la framboise,Yaourts aromatisés
Yaourts à la framboise,Yaourts brassés aux fruits
Yaourts à la framboise,Yaourts au lait de vache
Yaourts,Desserts lactés fermentés
Mousses au chocolat,Réfrigérés
Mousses au chocolat,Moelleux au chocolat
Mousses au chocolat,Mousses liégoises
Mousses au chocolat,Mousses sucrées
Mousses au chocolat,Desserts au chocolat
Dessert glacé feuilleté vanille,Dessert glacé feuilleté
Desserts lactés au café,Liégeois
Desserts lactés au café,Desserts au café
Desserts lactés au chocolat,Desserts au chocolat
Desserts lactés au chocolat,Laits emprésurés au chocolat
Desserts lactés au chocolat,Crèmes dessert chocolat
Desserts lactés au chocolat,Crèmes dessert en conserve
Produits laitiers,Produits laitiers
Produits laitiers,Boissons
Skyrs,Fermented dairy desserts
Skyrs,Yaourts
Skyrs,Desserts lactés fermentés
Fromages blancs,Yaourts
Fromages blancs,Desserts lactés fermentés
Fromages blancs,Desserts lactés fermentés nature
Yaourts à la fraise,Yaourts aux fruits
Yaourts à la fraise,Yaourts aromatisés
Yaourts à la fraise,Yaourts à la framboise
Yaourts entiers,Yaourts sucrés
Yaourts entiers,Yaourts brassés nature
Yaourts entiers,Yaourts au bifidus sucrés natures
Yaourts entiers,Yaourts brassés aux fruits
Yaourts entiers,Yaourts vanille
Yaourts entiers,Yaourts au citron
Yaourts entiers,Yaourts aromatisés
Yaourts entiers,Yaourts natures
Yaourts entiers,Yaourts au lait de vache
Yaourts entiers,Yaourts de chèvre nature
Crèmes chocolat aux œufs,Crèmes aux œufs
Yaourts brasses citron,Yaourts au citron
Yaourts à la grecque vanille,Yaourts entiers
Desserts lactés aux œufs,Crèmes brûlées
Desserts lactés aux œufs,Ile flottante
Desserts lactés aux œufs,Crèmes caramel aux œufs
Desserts lactés aux œufs,Desserts lactés au chocolat
Desserts lactés aux œufs,Desserts lactés à la vanille
Riz aux lait rhum raisins,Riz au lait
Refrigerated chocolate creamy puddings,Liégeois
Refrigerated chocolate creamy puddings,Refrigerated creamy puddings
Yaourts brassés nature,Yaourts brassés
Yaourts brassés nature,Yaourts à la grecque
Yaourts brassés nature,Yaourts à la grecque nature
Yaourts brassés nature,Yaourts au lait de vache
Yaourts vanille,Yaourts brassés
Yaourts vanille,Yaourts sucrés
Yaourts vanille,Yaourts
Yaourts natures,Yaourts
Crème aux œufs la laitière Nestle,Desserts lactés aux œufs
Gâteaux de riz,Desserts lactés
Gâteaux de riz,Gâteau de riz au caramel
Mousses lactées au café,Desserts lactés au café
Clafoutis aux cerises,Clafoutis aux fruits
Tartelettes à la préparation de fruits,Biscuits
Tartelettes à la préparation de fruits,Tartelettes à la poire
Tartelettes à la préparation de fruits,Biscuits à la fraise
Tartelettes à la préparation de fruits,Tartelettes à la fraise
Tartelettes à la préparation de fruits,Tartes au citron meringuées
Clafoutis aux pommes,Clafoutis aux fruits
Crèmes brûlées,Desserts lactés
Yaourts à la grecque nature,Yaourts à la grecque
Spécialités laitières,Yaourts aux copeaux de chocolat
Spécialités laitières,Yaourts
Spécialités laitières,Desserts lactés fermentés
Spécialités laitières,Fromages blancs aromatisés
Sablés au beurre,Palets
Sablés au beurre,Biscuits sablés
Sablés au beurre,Biscuit sec au beurre
Galettes pur beurre,Biscuits
Rillettes from Mans,Pork rillettes
Rillettes du Mans,Rillettes de porc
Rillettes de viande blanche,Canards
Charcuterie de volaille,
Préparations pour flans,Flans pâtissiers
Préparations pour flans,Flans gélifiés
Préparations pour flans,Préparations pour desserts
Aides culinaires,
Aide culinaire sucrée,Préparations pour crèmes dessert
Aide culinaire sucrée,Sucres blancs
Aide culinaire sucrée,Aides à la pâtisserie
Aide culinaire sucrée,Crèmes anglaises
