category,Description
Nouilles,Produits lyophilisés à reconstituer
Nouilles,Pâtes alimentaires
Couscous royal,Plats au poulet
Couscous royal,Couscous à la viande
Burgers,
Escalopes de poulet,Volailles cuites
Pizzas surgelées,Pizzas et tartes surgelées
Pizzas surgelées,Pizzas aux quatre fromages
Pizzas surgelées,Pizzas à la bolognaise
Pizzas surgelées,Pizza au poulet
Pizzas au kebab,Pizzas surgelées
Plats à base de mollusques,Plats préparés à réchauffer au bain marie
Plats à base de mollusques,Plats préparés réfrigérés
Plats à base de mollusques,Paella
Pizzas margherita,Pizzas
Pizzas margherita,Pizzas surgelées
Penne au poulet,Penne
Coquillettes jambon fromage,Coquillettes
Coquillettes jambon fromage,Plats à base de pâtes
Riz cantonais,Riz préparés
Riz cantonais,Plats préparés réfrigérés
Saumons,Plats préparés au poisson
Saumons,Poissons gras
Saumons,Produits à tartiner salés
Petits pois,Légumes et dérivés
Eau aromatisé,Boissons avec sucre ajouté
Eau aromatisé,Eaux aromatisées
Orangina,Sodas à l'orange
Sauces Madère,Sauces
Sauces chaudes,Sauces
Sauces au poivre,Mayonnaises
Sauces au poivre,Sauces
Sauces hollandaise,Sauces
Moutardes de Dijon,Moutardes
Œufs fermiers,Oeufs labellisés biologiques
Œufs fermiers,Oeufs labellisés biologique
Œufs fermiers Label Rouge,Œufs de poules
Œufs fermiers Label Rouge,Œufs de poules élevées en plein air
Œufs de poules élevées en plein air,Œufs de poules
Goûter pépites de chocolat,Biscuit aux céréales et pépites de chocolat
Biscuits au son de blé et la figue,Biscuits au son de blé
Goûter aux écorces confites,Biscuits
Sucettes glacees,Sorbets multifruits
UHT Milks,Semi skimmed milks
Laits écrémés UHT,Laits écrémés
Laits écrémés UHT,Laits à teneur réduite en lactose
Laits écrémés UHT,Laits de vache
Bicarbonates of soda,Anticaking agents
Madeleines longues,Madeleines au chocolat
Madeleines longues,Madeleines
Laits microfiltrés,Laits frais
Laits microfiltrés,Laits de vache
Laits microfiltrés,Laits entiers
Laits microfiltrés,Laits demi écrémés
Beurres & Margarines,Beurres de baratte
Beurres & Margarines,Beurres de crème douce
Beurres & Margarines,Beurres demi sel
Beurres crus,Beurres & Margarines
Semoules de maïs pour polenta,Semoules de maïs
Avoines,Pâtes sèches
Avoines,Laits ESL
Avoines,Fèves de soja
Crozets,Pâtes alimentaires
Tapenades vertes,Tapenades
Sauces tomates au basilic,Purées de tomates
Sauces tomates au basilic,Sauces tomate
Sauces tomates au basilic,Basilic
Sauces tomates au basilic,Sauces Pesto Rosso
Caviars d'aubergine,Produits à tartiner salés
Eaux de source avec adjonction de gaz carbonique,Boissons sans sucre ajouté
Eaux de sources,Eaux
Asperges en conserve,Asperges blanches
Asperges en conserve,Asperges
Coeur de palmier appertisé,Cœurs de palmier en conserve
Maïs en grain,Maïs doux en conserve
Mimolettes,Fromages à pâte pressée non cuite
Camembert au lait cru fromage a pate molle a croute fleurie,Camemberts au lait cru de vache
Fromages frais aux fraises,Fromages à la crème
Margarines,Matières grasses végétales
Filets de maquereaux au vin blanc et aromates,Filets de maquereaux
Mayonnaises de Dijon,Mayonnaises
Asperges blanches en conserve,Asperges en conserve
Tomato pulps,Canned tomatoes
Tomato pulps,Tomatoes and their products
Pickles,
Thon à la catalane,Miettes de thon à la tomate
Miettes de thon à la tomate,Miettes de thon
Conserve cuisiné,Petits salés aux lentilles
Vinaigres de vins rouges,Vinaigres de vin
Jus de pamplemousse à base de concentré,Jus de pamplemousse
Poivrons grillés,Poivrons
Poivrons grillés,Légumes préparés
Poivrons grillés,Poivrons en conserve
Canned white common beans,Canned common beans
Pâtés végétaux,Houmous
Pâtés végétaux,Margarines allégées
Pâtés végétaux,Marmelades d'oranges
Pâtés végétaux,Matière grasse végétale douce à teneur réduite en matière grasse
Pâtés végétaux,Pâtes à tartiner végétales
Biscuits apéritifs au fromage,Biscuits apéritifs
Biscuits apéritifs au fromage,Puffed salty snacks made from maize
Sauces tartare,Sauces bourguignonnes
Sauces tartare,Sauces
Miettes de thon à l'huile de tournesol,Thons à l'huile de tournesol
Purées de pommes de terre en flocons,Purées de pommes de terre
Salsifis en conserve,Salsifis
Salsifis en conserve,Légumes en conserve
Épinards en conserve,Épinards
Choucroute garnie au vin blanc,Choucroutes garnies
Tomates,Biscuits apéritifs
Tomates,Tomates et dérivés
Mélanges de légumes pour soupes,Légumes surgelés pour potage
Poitrine de porc,Pancetta
Poitrine de porc,Porc
Escalopes de dinde,Dindes
Fruits,Fruits based foods
Fruits,Légumes et dérivés
Fruits,Fruits et produits dérivés
Mandarines fraîches,Mandarines
Citrons frais,Citrons
Salmons,Fatty fishes
Cuisses de poulet,Poulets
Cuisses de poulet,Pommes de terre
préparation de riz poulet et fruits de mer,Paëllas
Viandes fraîches,Bœuf
Filets de colin,Poissons panés de merlu blanc
Filets de colin,Colins
Mortadelle,Charcuteries cuites
Jambons de Parme,Produits carnés italiens
Rosettes,Bacon
Rosettes,Saucissons
Saumons surgelés,Pavés de saumon
Chipolatas,Saucisses françaises
Viande des grisons,Viandes séchées
Saucisses de volaille,Volailles
Saucisses de volaille,Saucisses
Plain yogurts,Yogurts
Farces a legumes,Stuffing
Queijos em rolo,Chèvre
Manchons de poulet,Poulets cuisinés
Manchons de poulet,Plats préparés réfrigérés
Aiguillettes de poulet,Poulets
Filets de poulet rotis,Filets de poulet
Pâté en croûte,Charcuteries cuites
Saucisses sèches,Saucissons
Saucisses sèches,Fouets catalans
Saucisses sèches,Saucisson sec pur porc qualité supérieure
Saucisses sèches,Dry sausage
Saucisses sèches,Saucissons secs
Beurres moulés,Beurres demi sel
Beurres moulés,Beurres doux
Clémentines fraîches,Clémentines
Pavés de saumon,Filets de saumon
Pavés de saumon,Saumons
Julienne de légumes,Légumes surgelés
Julienne de légumes,Légumes et dérivés
Mélanges de champignons surgelés,Champignons surgelés
Poisson surgelé cru,
Pâtes à la carbonara,Plats à base de pâtes
Poitrines fumées,Charcuteries à cuire
Bordeaux supérieur,Bordeaux
Monbazillac,Vins français
Bourgogne hautes côtes de beaune,Vins rouges
Bourgogne hautes côtes de beaune,Bourgogne
Clairette de Die,Vins effervescents
Bourgogne aligoté,Vins blancs
Rhums ambrés,Rhums
Asperges vertes,Asperges vertes en conserve
Asperges vertes,Asperges
Pinot noir,Bourgogne
Ventoux,Boissons à base de vin
Pains au lait,Viennoiseries
Filets de poulet,Poulets
Moules,Mollusques
Betteraves,Légumes et dérivés
Jambons crus,Jambons
Crevettes,Frais
Crevettes,Crustacés
Saucissons secs,Saucissons
Choux fleurs surgelés,Choux fleurs en fleurettes surgelés
Glaces à la pistache,Crèmes glacées en pot
Glaces à la pistache,Bâtonnets glacés au chocolat
Glaces rhum raisin,Crèmes glacées en pot
Pommes gala,Pommes fraîches
Kiwis frais,Kiwis
Sucres de canne liquides,
Filet de merlu,Merlu
Viandes hachées,Bœuf
Noix de Saint Jacques avec corail,Noix de Saint Jacques
Merguez de bœuf,Merguez
Crozes Hermitage,Vins français
Huile pour friture,Huiles
Huile pour friture,Huiles de tournesol
Gésiers de canard,Gésiers
Gésiers de canard,Gésiers de poulet
Viandes hachées de bœuf,
Steak haché pur boeuf,Steaks hachés de bœuf frais
Pains précuits,Pains
Pains précuits,Baguettes
Glace en pot individuel,Vanille
Glace en pot individuel,Glaces
Wines,Alcoholic beverages
Vins moelleux,Côtes de Bergerac
Vins moelleux,Monbazillac
Côtes du Roussillon Villages,Côtes du Roussillon
Viandes hachées fraîches,Bœuf
Cônes vanille café,Cônes glacés
Filet de limande,Breaded products Breaded Product
Lasagnes à la bolognaise,Lasagnes préparées
Lasagnes à la bolognaise,Plats préparés surgelés
Filets de colin d'Alaska,Filets de colin
Queues de crevettes,Crevettes
Tomates farcies,Tomates et dérivés
Lasagnes préparées,Plats à base de pâtes
Produits de la mer,
Poissons panés,Filet de merlu
Poissons panés,Produits panés
Vins blancs secs,Vins blancs
Fresh tomatoes,Tomatoes
Raisins blancs,Raisins frais
Champignons de Paris entiers,Champignons frais
Viande de bœuf hachée fraîche,Beef
Omelettes de pommes de terre,Plats préparés
Foies gras entiers,Foies gras de canard
Aiguillettes de canard,Magrets de canard
Ardèche,Vins blancs
Jambons Serrano,Produits carnés espagnols
Vinaigres de vin,Vinaigres
Fusili,Pâtes sèches
Bergerac,Vins français
Île de Beauté,Vins français
Nectars multifruits,Jus de fruits
Nectars multifruits,Jus multifruits
Nectars multifruits,Nectars de fruits
Nectars de fruits,Jus et nectars
Goûters,Pancakes
Cœurs de palmier en conserve,Aliments à base de plantes en conserve
Cœurs de palmier en conserve,Cœurs de palmier
Maïs en épi,Céréales en grains
Maïs en épi,Maïs en conserve
Asperges blanches,Asperges
Cheeseburgers,Sandwichs
Escargots de Bourgogne,Escargots
Croissants ordinaires,Butter croissants
Croissants ordinaires,Croissants
Brioche préemballée,Brioches au chocolat
Brioche préemballée,Brioches
Brioches,Viennoiseries
Brioche fourrée au chocolat,Brioches
Brioche chocolat aux lait,Brioches au chocolat
Galettes des rois,Pâtisseries
Pommes rissolées surgelées cuites,Pommes de terre rissolées surgelées
Pommes noisettes surgelées,Pommes dauphine surgelées
Pommes noisettes surgelées,Pommes de terre normales préfrites surgelées
Pommes dauphines surgelées,Pommes dauphines
Vin rouge à 13°,Vins rouges
Crémant d'Alsace,Vins français
Huiles,Matières grasses végétales
Côtes de Duras,Vins blancs
Gâteau au fromage,Gâteaux
Plats au lapin,Plats préparés en conserve
Couscous de légumes,Plats préparés à réchauffer au micro ondes
Couscous de légumes,Plats préparés d'origine végétale
Chili sin carne,Plats préparés d'origine végétale
Nutriscore B,Poulets au curry
Plats préparés à la viande,Plats préparés
Poulets au curry,Plats au poulet
Poulets au curry,Plats préparés à réchauffer au micro ondes
Riz curry vert,Riz long au poulet
Café décaféiné non sucré,Cafés en dosettes
Strong beers,French beers
Bieres aromatisées aux fruits,Bières
Bieres aromatisées aux fruits,Bières blanches
Cabernet Syrah,Pays d'Oc
Noix de Saint Jacques,Mollusques
Sardines à l'ancienne,Sardines à l'huile d'olive
Sardines à l'ancienne,Sardines à l'huile et au citron
Sardines à l'ancienne,Sardines à l'huile et au piment
Produits labellises,Sardines à l'ancienne
Anchois à l'huile,Anchois
Sardines à l'huile d'olive aux tomates séchées,Sardines à l'ancienne
Sardines à l'huile et au piment,Sardines à l'huile
Sardines à l'huile et au piment,Sardines à l'huile d'olive
Sardines à l'huile et au citron,Sardines à l'huile
Sardines à l'huile et au citron,Sardines à l'huile d'olive
Sardines en conserve,Sardines
Sardines à l'huile,Sardines en conserve
Sardines sans huile,Sardines en conserve
Sardines sans huile,Sardines à l'huile et au citron
Sardines sans huile,Sardines à la tomate
Sardines sans huile,Filets de sardines
Filets de sardines,Filets de poissons
Saumons au naturel,Saumon en conserve
Légumes surgelés pour potage,Mélanges de légumes surgelés
Sucres de canne,Sucres
Sucres de canne,Sucres roux
Sucres roux,Sucres
Huiles d'arachide,Huiles de légumineuses
Jus de citron,Jus de fruits
Jus de citron,Boissons sans alcool
Vinaigres d'alcools,Vinaigres
Fleurs de sel de Guérande,Sels de Guérande
Gros sel de Guérande,Sels de Guérande
Laits concentrés sucrés,Laits concentrés
Chicorée soluble,Boissons instantanées
Verveine,Verbénacées
Verveine,Tisanes de plantes mélangées
Thés à la menthe,Infusions
Ciboulette séchée,Ciboulette
Cornichons au vinaigre,Cornichons extra fins
Cornichons au vinaigre,Cornichons
Cornichons au vinaigre,Cornichons aigres doux
Oignons frits,Oignons et dérivés
Vermicelle de riz,Nouilles
Sauces Nuoc mâm,Sauces
Sauces Nuoc mâm,Nems au poulet
Pâté,Charcuteries diverses
Torsades d'Alsace,Torsades aux œufs
Mélanges d'huiles,Huiles
Cornichons extra fins,Cornichons
Olives noires entières,Olives entières
Riz à grain court,Riz
Riz complet,Riz long grain
Riz complet,Riz
Thés au citron,Thés aromatisés
Pétales multicéréales,Flocons extrudés
Gressins,Biscuits apéritifs
Gressins,Pains
Gressins,Pains spéciaux
Biscuits aux céréales,Biscuits au chocolat
Muffins à la vanille,Muffins aux pépites de chocolat
Spéculoos,Biscuits
Spéculoos,Tiramisu
Crêpes dentelle au chocolat,Crêpes dentelle
Tuiles sucrées,Tuile aux amandes
Gaufrettes,Biscuits
Gaufres fourrées au miel,Gaufres
Pistaches salées,Pistache grillée salée
Pistaches salées,Fruits à coque salés
Tortillas de blé,Pains de blé
Tortillas de blé,Pains
Crackers emmental graines de courge,Biscuits apéritifs
Thé noir earl grey,Thés noirs aromatisés à la bergamote
Amandes grillées et salées,Amandes grillées
Bi,Biscottes multicéréales
Thés noirs aromatisés,Thés aromatisés
Granen en aardappels,Plantaardige levensmiddelen
Coffee capsules,Capsules
Asperges vertes en conserve,Asperges en conserve
Noix de cajou salées,Noix de Cajou grillées
Noix de cajou salées,Noix de cajou
Riz étuvé,Riz complet
Riz étuvé,Riz long grain
Riz de Camargue,Riz long grain
Riz de Camargue,Riz
Riz de Camargue,Riz blanc
Confits de figues,Chutneys de fruit
Sauces tomates au parmesan,Sauces tomate au fromage
Sauces aux olives,Sauces aux légumes
Sauces Pesto,Sauces pour pâtes
Sauces Pesto,Sauces
Sauces pour pâtes,Sauces
Concentrés de tomates,Double concentré de tomate
Concentrés de tomates,Tomates en conserve
Concentrés de tomates,Tomates et dérivés
Cacahuètes,Beurres de cacahuètes
Cacahuètes,Fruits à coques
Verdauungstee,Thés
Fond de veau,Sauces déshydratées
Bouillons de bœuf,Bouillons
Soupes,Plats préparés
Soupes,Champignons et produits dérivés
Spaghettis de blé dur complet,Spaghettis de blé dur
Biscottes,Biscuits apéritifs
Biscottes,Pains
Vinaigrettes,Sauces salades
Chocolats au lait à la fleur de sel,Chocolats au lait au caramel
Assortiments de biscuits,Biscuits
Rillettes de saumon rose,Rillettes de saumon
Corn flakes natures,Corn flakes
Pétales de blé chocolatés,Céréales extrudées
Pousses de haricot mungo en conserve,Haricots mungos germés
Cœurs de palmier,Aliments à base de plantes frais
Conserves,
Quenelles de poulet,Quenelle de volaille
Noisettes,Fruits à coques
Ristes d'aubergines à la provencale,
Sauces napolitaines,Sauces tomate
Sauces Arrabiata,Sauces tomate
Graines de tournesol grillées,Graines de tournesol
Graines de tournesol,Graines de tournesol et dérivés
Abricots secs,Abricots
Abricots secs,Fruits secs
Ananas séchés,Fruits secs
Baies de goji séchées,Fruits secs
Dattes dénoyautées,Dattes
Pruneaux,Fruits secs
Noix du Brésil,Fruits à coques
Terrines,Viandes et dérivés
Terrines,Plats au porc
Chips de manioc à la crevette,Chips cocktail de crevettes
Chips de manioc à la crevette,Chips de manioc
Taboulés à l'huile d'olive,Taboulés
Terrines de sanglier,Terrines
Pâtés charcutiers,Viandes en conserve
Pâtés charcutiers,Pâtés aux cèpes
Pâtés charcutiers,Pâtés de campagne
Huiles de coco,Huiles de fruits et graines de fruits
Caprons au vinaigre,Pickles d'origine végétale
Bouillons de légumes,Bouillons déshydratés
Pistache grillée salée,Pistaches grillées
Mélange apéritif de graines et raisins secs,Mélange apéritif de graines et fruits séchés
Cornichons aigres doux,Cornichons
Epinards haches,Épinards
Pois chiche cuits,Pois chiches en conserve
Pois chiche cuits,Citron confit
Compotes pommes mangue,Compotes de pomme
Compotes pommes mangue,Purée de fruits sans sucres ajoutés
Miels d'oranger,Miels d'agrumes
Ananas,Fruits tropicaux
Lychees au sirop,Fruits au sirop
Mangues au sirop,Fruits au sirop
Chocolats au lait au riz,Chocolats au riz
Chocolats noirs aux canneberges,Chocolats aux canneberges
Roses des sables,Pâtisseries
Chocolat noir en tablette sans sucres ajoutés avec édulcorants,Chocolats noirs aux édulcorants
Pâtes de fruits multifruits,Pâtes de fruits
Génoises en tranches fourrées,Gâteaux
Génoises en tranches fourrées,Gâteau moelleux au chocolat
Génoises en tranches fourrées,Gâteaux au chocolat
Génoise,Génoises en tranches fourrées
Génoise,Génoises fourrées aux fruits et nappées de chocolat
Ookies,Cookies au chocolat
Biscuits tablette fourrée,Biscuits tablette de chocolat
Madeleines aux oeufs,Madeleines
Garniture pour vol au vent,
Cookies au chocolat et à la nougatine,Cookies au chocolat
Biscuits fourrés chocolat,Biscuits fourrés
Biscuits tablette de chocolat blanc,Biscuits tablette de chocolat
Gaufrettes fourrées aux fruits,Gaufrettes fourrées
Confits de tomates séchées,Confits de tomates
Compotée d'artichaut,Condiments à tartiner
Calmars a l americaine,Produits de la mer espagnols
Olives farcies,Olives
Snacks salées,Mélanges de biscuits soufflés
Chips saveur barbecue,Chips de pommes de terre à l'huile de tournesol
Tuiles salées,Chips de pomme de terre reconstituée
Tuiles salées,Chips
Cacahuète grillée salée,Cacahuètes
Popcorn sucré,Popcorn au caramel
Popcorn sucré,Popcorn
Palmiers salés,Biscuits apéritifs
Carottes,Légumes préparés
Carottes,Légumes et dérivés
Coleslaw,Frais
Coleslaw,Plats préparés
Concombres à la crème,Salades de concombres
Huiles de sésame,Huiles de céréales
Huiles de noix,Huiles de fruits à coques
Laits écrémés,Laits UHT
Laits écrémés,Laits
Laits demi écrémés biologiques,Laits de vache
Laits demi écrémés biologiques,Laits demi écrémés UHT
Laits demi écrémés biologiques,Laits à teneur réduite en lactose
Laits demi écrémés biologiques,Laits pasteurisés
Laits demi écrémés biologiques,Laits UHT
Laits demi écrémés biologiques,Laits ESL
Spring waters,Waters
Thés glacés saveur menthe,Thés glacés
Mountain waters,Mineral waters
Eaux de montagne,Boissons sans sucre ajouté
Crème de cassis de Dijon,Crèmes de cassis
Pure Druivensappen,Druivensappen
Verse Multivruchtensappen,Verse ongekoelde vruchtensappen
Jus de tomates,Jus de légumes
Bonbons au miel,Bonbons
Green teas with mint,Mint teas
Thés verts,Thés
Fruits à coque salés,Pistaches grillées
Huiles d'olive,Huiles
Olives vertes,Olives
Olives vertes entières,Olives entières
Raw cured ham,Hams of San Daniele
Raw cured ham,Dried hams
Saumons fumés sauvages,Saumons sauvages
Haricots blancs à la sauce tomate en conserve,Haricots à la tomate
Haricots à la tomate,Légumes préparés
Légumes cuits pour couscous,Couscous préparés
Gorgonzolas,Fromages italiens
Gorgonzolas,Fromages pasteurisés
Yaourts au miel,Yaourts à la grecque
Gorgonzola et mascarpone,Fromages italiens
Laits pasteurisés,Laits frais
Laits pasteurisés,Laits UHT
Laits pasteurisés,Laits demi écrémés
Yaourts au lait de vache,Yaourts aux fruits
Yaourts au lait de vache,Yaourts à la cerise
Yaourts au lait de vache,Yaourts sucrés
Yaourts au lait de vache,Yaourts natures
Têtes de Moine,Fromages à pâte pressée demi cuite
Ricotta,Fromages pasteurisés
Ricotta,Fromages à tartiner
Ricotta,Fromages italiens
Ricotta,Fromages à pâte fraîche
Ricotta,Fromages à la crème
Morbiers,Fromages au lait cru
Morbiers,Fromages à pâte pressée non cuite
Fromages AOP,Ossau Iraty
Camemberts au lait cru de vache,Fromages au lait cru
Gâches,Viennoiseries
Gâches,Brioches
Saucisson sec d'Auvergne,Saucissons secs
Feuilles de brick,Pâtes à tarte
Feuilles de brick,Pâtes alimentaires
Rillettes de poulet,Rillettes de volaille
Pizzas au chorizo,Pizzas
Taboulés frais,Entrées froides
Taboulés frais,Taboulés orientaux
Entrées froides,Légumes préparés
Entrées froides,Céleris Rémoulade
Concombres au fromage blanc,Salades de concombres
Saucisses de Morteau,Saucisses françaises
Quenelles nature,Quenelles
Pains tranchés,Pains spéciaux
Pains tranchés,Pains de seigle
Filets de Limande du nord,Limande du nord
Poissons panés de merlu blanc,Lieu d'Alaska cru
Poissons panés de merlu blanc,Poissons panés
Poissons panés de merlu blanc,Plats préparés surgelés
Mozzarella di Bufala Campana,Mozzarella de bufflonne
Framboises surgelées,Fruits rouges surgelés
Sorbets à la mangue,Sorbets
Sorbets à la fraise,Sorbets
Pains au chocolat surgelés,Viennoiseries surgelées
Vegetables based foods,Fruits and vegetables based foods
Cônes vanille fraise,Cônes glacés
Salmon steaks,Salmons
Gratins de légumes,Gratins
Champignons de Paris émincés surgelés,Champignons de Paris surgelés
Printanière de légumes,Légumes surgelés
Quiches au poireau,Tartes salées surgelées
Quiches au poireau,Quiches
Frites surgelées,Frites surgelées à cuire au four
Frites surgelées,Frites surgelées pour friteuse
Frites surgelées,Frites de pommes de terre surgelées cuites en friteuse
Frites surgelées,Frites
Pommes rissolees,
Pains multicéréales,Pains
Baguette de campagne,Pains de tradition française
Rillettes de maquereau,Rillettes de poissons
Soupes de poissons,Soupes à réchauffer
Haram,
Cidres demi secs,Cidres artisanaux
Cidres demi secs,Cidres bruts
Jus de pomme à base de concentré,Jus de pomme
Multifruit juices,Fruit juices
Tonic sucré,Boissons avec sucre ajouté
Diabolo,Limonades
Jus de fruits petillant,Jus de pomme pétillants
Nectars d'abricot,Nectars de fruits
Nectars de banane,Nectars de fruits
Nectars de banane,Bananes
Nectars de goyave,Nectars de fruits
Nectars de mangue,Nectars de fruits
Nectars de mangue,Mangues
Jus et nectars,Boissons à base de végétaux
Jus et nectars,Boissons aux fruits
Jus et nectars,Jus de fruits à base de concentré
Vers geperste sinaasappelsappen,Sinaasappelsappen
Cidres artisanaux,Alcools artisanaux
Eaux de coco,Boissons à base de végétaux
Plats au saumon,Plats préparés au poisson
Tagliatelles aux œufs,Nouilles aux oeufs
Jambons de la Forêt Noire,Jambons crus fumés
Ravioli au fromage,Plats préparés d'origine végétale
Ravioli au fromage,Pâtes farcies au fromage
Tortellini ricotta & épinards,Tortellini
Bâtonnets de surimi,Surimi
Ravioli ricotta & épinards,Tortellini
Ravioles du Dauphiné,Ravioles
Nems au porc,Nems
Eminces de thon,Thons albacore
Laitues,Légumes feuilles
Laitues,Légumes frais
Pains panini,Paninis
Pains panini,Pains spéciaux
Yaourts au lait de brebis,Yaourts brassés nature
Yaourts au lait de brebis,Yaourts vanille
Yaourts au lait de brebis,Yaourts
Yaourts au lait de brebis,Yaourts aromatisés
Yaourts au lait de brebis,Yaourts natures
Yaourts au lait de brebis,Yaourts à la grecque
Yaourts au lait de brebis,Laits emprésurés nature
Saucisses de Montbéliard,Saucisses françaises
Jambon supérieur avec couenne,Jambon cuit avec couenne
Pâte feuilletée pur beurre,Pâtes feuilletées
Rocamadour,Fromages à pâte molle à croûte lavée
Rocamadour,Fromages à pâte molle à croûte naturelle
Mozzarella râpée,Fromages râpés
Fromages de France,Fromages
Fromages de France,Emmentals
Fromages de France,Fromages à pâte pressée cuite
Yaourt à la grecque au lait de brebis,Yaourts au lait de brebis
Nuggets végétariens,Substituts de viande à partir de protéines de soja ou blé
Nuggets végétariens,Produits panés
Gnocchi de semoule de blé dur,Gnocchi
Pâtes à pizza,Produits de boulangerie
Risottos au poulet,Plats au poulet
Crèmes dessert rayon frais,Crèmes dessert
Galettes au chèvre et aux lardons,Galettes
Goudas au cumin,Goudas
Goudas au cumin,Fromages pasteurisés
Filet de colin d’alaska,Filets de colin
Pizzas royales,Pizzas
Pizzas royales,Pizzas surgelées
Pizzas royales,Pizza jambon fromage
Pizzas au thon,Pizzas
Pizzas au thon,Pizzas surgelées
Pomme de terre Grenaille,Pommes de terre
Échalotes et dérivés,
Ciboulette surgelé,Ciboulette
Ail haché surgelé,Ail
Coriandre en pot,Feuilles de coriandre
Tartes françaises,Tartes Tatin
Pizza au saumon,Pizzas
Pizza au saumon,Pizzas surgelées
Macarons,Crèmes glacées en pot
Macarons,Pâtisseries
Macarons,Pastries
Glaces au caramel,Barres glacées
Glaces au caramel,Glaces à la vanille
Glaces au caramel,Caramels au beurre salé
Glaces au caramel,Crèmes glacées en pot
Glaces au caramel,Crème glacée gourmande en bac
Glaces au chocolat,Crèmes glacées en pot
Tartes au citron meringuées,Tartes au citron
Tartes au citron meringuées,Gâteaux et pâtisseries surgelés
Merlu blanc du Cap surgelé,Filet de merlu
Merlu blanc du Cap surgelé,Filet de merlu surgelé
Ktipiti,Trempettes
Saumon fumé de Norvège,Saumons fumés
Couscous,Couscous préparés
Mousses de foies,Mousses salées
Mousses de foies,Mousses de canard au porto
Fondant au chocolat,Gâteaux au chocolat
Flans pâtissiers,Pâtisseries
Boudins noirs aux pommes,Boudins noirs
Parmigiano Reggiano,Formaggio grattugiato
Parmigiano Reggiano,Fromages au lait cru
Parmigiano Reggiano,Réfrigérés
Parmigiano Reggiano,Fromages râpés
Parmigiano Reggiano,Fromages italiens
Parmigiano Reggiano,Grated cheese
Endives au jambon,Plats préparés
Endives au jambon,Gratins
Saumons atlantique fumes,Saumons fumés
Saumons atlantique fumes,Saumons fumés d'élevage
Houmous classiques,Houmous
Œufs de poules élevées au sol,Œufs de poules
Œufs frais,Œufs de poules élevées au sol
Œufs frais,Œufs de poules
Œufs frais,Œufs de poules élevées en plein air
Œufs frais,Œufs
Terrines de saumon,Terrines de poisson
Plats à base de boulgour,Salades composées
Pâte brisée pur beurre,Pâtes brisées
Plain buckwheat crepes,Galettes
Œufs de poules,Œufs
Viandes séchées,Porc
Viandes séchées,Saucissons
Viandes séchées,Saucissons secs
Viandes séchées,Préparations de viande bovine
Briochettes,Brioches pur beurre
Briochettes,Brioches au chocolat
Briochettes,Brioches
Croissants,Viennoiseries
Charcuteries cuites,Jambons blancs
Charcuteries cuites,Charcuteries
Charcuteries cuites,Saucisses
Jambon cuit supérieur découenné dégraissé,Jambon cuit supérieur découenné
Smoothies,Boissons à base de végétaux
Smoothies aux fruits,Boissons sans sucre ajouté
Smoothies aux fruits,Smoothies
Matière grasse végétale à 60 % doux au tournesol,
Matières grasses végétales,Matières grasses
Gruyères de Suisse,Fromages de Suisse
Fourme d'Ambert,Fromages à pâte persillée français
Fourme d'Ambert,Fromages pasteurisés
Maroilles,Fromages de France
Maroilles,Fromages à pâte molle à croûte lavée
Saint Félicien,Fromages au lait thermisé
Saint Félicien,Fromages au lait cru
Fromages d'abbaye,Fromages pasteurisés
Maasdam,Fromages en tranches
Maasdam,Fromages des Pays Bas
Goudas jeunes,Goudas
Cabécous,Fromages de chèvre
Cabécous,Fromages pasteurisés
Fetan,Fromages de Grèce
Fetan,Fromages de brebis
Fetan,Fromages pasteurisés
Fromages à pâte persillée,Fromages
Cantal entre deux,Cantal
Cheddar extra mature,Cheddars
Mascarpone,Fromages à la crème
Mozzarella de vache,Mozzarella
Poivrons farcis au chevre,Poivrons farcis
Specks,Jambons crus fumés
Pecorino Romano,Pecorino
Saumons d'élevage,Saumons
Saucissons,Frais
Saucissons,Charcuteries
Cervelas,Saucisses
Salami danois,Salamis
Saucissons fumés,Saucissons cuits
Tortis au surimi,
Dés de jambon,Jambons
Dés de jambon,Charcuteries cuites
Chickens,Poultries
Gésiers,Abats
Yaourts de chèvre nature,Yaourts au lait de chèvre
Yaourts brassés aux fruits,Yaourts sucrés
Yaourts brassés aux fruits,Yaourts à la myrtille
Yaourts brassés aux fruits,Yaourts à la cerise
Yaourts brassés aux fruits,Yaourts au lait de vache
Yaourts brassés aux fruits,Yaourts brassés
Yaourts à boire goût vanille,Yaourts à boire
Yaourts à boire goût vanille,Boissons avec sucre ajouté
Pâtisseries,Biscuits et gâteaux
Pâtisseries,Brioches
Crèmes fleurettes,Crèmes
Crèmes fleurettes,Crèmes entières
Tomme des Pyrénées,Tommes
Yaourts au lait de chèvre,Yaourts
Yaourts au lait de chèvre,Yaourts aromatisés
Yaourts au lait de chèvre,Yaourts natures
Clafoutis,Gâteaux
Crèmes liquides,Crèmes
Crèmes liquides,Crèmes UHT
Pizzas tartes salées et quiches,Plats préparés
Paniers feuilletés,Feuilletés jambon fromage
Beignet de calamar à la romaine,Mollusques
Pommes de terre surgelées,Aliments à base de plantes surgelés
Pommes de terre surgelées,Pommes de terre
Coeurs d'artichauts surgelés,Coeurs d'artichauts
Gombos,Légumes surgelés
Bâtonnets glacés à la vanille,Mini cône glacé
Bâtonnets glacés à la vanille,Bâtonnets glacés
