Price,Price per Unit,Brand,category,Description,URL
2.82,11.28,AUCHAN,Beurres demi-sel,Beurres,https://www.auchan.fr/auchan-beurre-tendre-demi-sel/pr-C1177851
3.07,12.28,AUCHAN,Beurres moulés,Beurres demi-sel,https://www.auchan.fr/auchan-beurre-moule-demi-sel/pr-C1178143
3.88,15.52,PRESIDENT,Beurres demi-sel,Beurres,https://www.auchan.fr/president-beurre-gastronomique-demi-sel/pr-C1178165
2.92,11.68,ELLE VIRE,fr:Beurres tendres,Half-salted butter,https://www.auchan.fr/elle-vire-beurre-tendre-demi-sel/pr-C1175591
3.29,13.16,PRESIDENT,Beurres demi-sel,Beurres,https://www.auchan.fr/president-beurre-gastronomique-demi-sel/pr-C1174998
2.71,10.84,AUCHAN,Beurres demi-sel,Beurres,https://www.auchan.fr/auchan-beurre-tendre-demi-sel/pr-C1177192
4.03,16.12,PRESIDENT,Beurres demi-sel,Beurres,https://www.auchan.fr/president-beurre-tendre-demi-sel/pr-C1174999
2.66,10.64,ISIGNY STE MERE,Beurres de baratte,Beurres demi-sel,https://www.auchan.fr/isigny-ste-mere-beurre-de-baratte-aux-cristaux-de-sel-de-guerande/pr-C1174986
3.56,17.8,ELLE VIRE,Mini-beurres,Beurres demi-sel,https://www.auchan.fr/elle-vire-mini-beurre-demi-sel-gastronomique/pr-C1177918
4.29,8.58,PRESIDENT,Beurres,Produits laitiers à tartiner,https://www.auchan.fr/president-beurre-gastronomique-tendre-demi-sel/pr-C1330300
2.04,8.16,AUCHAN MG,Beurres demi-sel à 60-62% MG à teneur réduite en matière grasse,Beurres allégés,https://www.auchan.fr/auchan-beurre-demi-sel-allege-60-mg/pr-C1468582
2.37,9.48,MONTFLEURI MG,fr:beurre doux à 60 % MG,Butters,https://www.auchan.fr/montfleuri-beurre-doux-allege-60-mg/pr-C1177693
1.98,7.92,AUCHAN MG,Beurres doux,Beurres,https://www.auchan.fr/auchan-beurre-doux-allege-60-mg/pr-C1468581
5.69,11.38,AUCHAN,Beurres de crème douce,Beurres moulés,https://www.auchan.fr/auchan-beurre-moule-doux/pr-C1177938
5.69,11.38,AUCHAN,Beurres pasteurisés,Beurres moulés,https://www.auchan.fr/auchan-beurre-moule-demi-sel/pr-C1177937
3.25,13.0,GRAND FERMAGE,Beurres pasteurisés,Beurres moulés,https://www.auchan.fr/grand-fermage-beurre-demi-sel-aux-cristaux-de-sel-de-mer/pr-C1175147
3.84,15.36,AUCHAN BIO,Beurres demi-sel,Beurres,https://www.auchan.fr/auchan-bio-beurre-moule-demi-sel/pr-C1170453
3.1,12.4,LAITERIE VERNEUIL,Beurres de crème douce,Beurres pasteurisés,https://www.auchan.fr/laiterie-verneuil-beurre-doux/pr-C1177746
2.07,4.14,AUCHAN,Pâtés végétaux,Margarines allégées,https://www.auchan.fr/auchan-margarine-tournesol-doux-omega-3/pr-C1178020
3.25,7.22,PLANTA FIN,Margarines allégées,Margarines,https://www.auchan.fr/planta-fin-margarine-doux-pour-tartine-et-cuisson/pr-C1623489
1.47,2.94,POUCE,Margarines allégées,Margarines,https://www.auchan.fr/pouce-margarine-de-cuisine-60/pr-C1175575
1.84,3.68,AUCHAN,Margarines,Matières grasses végétales,https://www.auchan.fr/auchan-margarine-cuisine-et-patisserie/pr-C1178163
3.01,6.02,PLANTA FIN,80-unsalted-vegetable-fat-margarine-type,Unsalted margarines,https://www.auchan.fr/planta-fin-margarine-liquide-pour-cuisson/pr-C1171447
4.4,8.8,PRIMEVERE,Light margarines,Margarines,https://www.auchan.fr/primevere-margarine-doux-pour-tartine/pr-C1169616
4.45,8.9,PRIMEVERE,Light margarines,Margarines,https://www.auchan.fr/primevere-margarine-doux-pour-tartine-et-cuisson/pr-C1169617
2.97,11.65,ST HUBERT,Margarines allégées,Beurres,https://www.auchan.fr/st-hubert-margarine-omega-3-demi-sel-tartine-et-cuisson/pr-C1175561
2.78,10.9,ST HUBERT,Margarines allégées,Margarines,https://www.auchan.fr/st-hubert-margarine-omega-3-doux-tartine-et-cuisson/pr-C1175562
4.39,8.61,ST HUBERT,Margarines allégées,Margarines,https://www.auchan.fr/st-hubert-margarine-omega-3-doux-tartine-et-cuisson/pr-C1518166
4.38,8.76,ISIGNY STE MERE AOP,Crèmes fraîches,Crème Fraîche d'Isigny,https://www.auchan.fr/isigny-ste-mere-creme-fraiche-d-isigny-epaisse-entiere-aop/pr-C1177982
2.68,6.08,PRESIDENT MG,Crèmes fraîches,Crèmes épaisses,https://www.auchan.fr/president-creme-fraiche-epaisse-entiere-30-mg/pr-C1169646
1.38,2.76,POUCE MG,Crèmes légères,Crèmes fraîches,https://www.auchan.fr/pouce-creme-fraiche-epaisse-legere-15-mg/pr-C1177639
0.9,4.52,BRIDELICE MG,Crèmes légères,Crèmes fraîches,https://www.auchan.fr/bridelice-creme-fraiche-epaisse-legere-15-mg/pr-C1178078
3.03,6.06,AUCHAN BIO,Crèmes fraîches,Crèmes entières,https://www.auchan.fr/auchan-bio-creme-fraiche-epaisse-entiere-30/pr-C1171042
2.34,4.71,BRIDELICE M G,Crèmes légères,Crème de lait légère épaisse avec 15 à 20% de matières grasses rayon frais,https://www.auchan.fr/bridelice-creme-fraiche-epaisse-legere-15-m-g/pr-C1169621
1.92,3.84,AUCHAN MG,Crèmes légères,Crèmes fraîches,https://www.auchan.fr/auchan-creme-fraiche-epaisse-legere-15-mg/pr-C1177957
0.86,4.3,AUCHAN MG,Crèmes légères,Crèmes fraîches,https://www.auchan.fr/auchan-creme-fraiche-epaisse-legere-15-mg/pr-C1177958
2.0,6.1,ELLE VIRE MG,Crèmes légères,Crèmes fraîches,https://www.auchan.fr/elle-vire-creme-legere-epaisse-de-normandie-12-mg/pr-C1177402
1.78,3.56,AUCHAN MG,Crèmes légères,Crèmes épaisses,https://www.auchan.fr/auchan-specialite-laitiere-epaisse-4-mg/pr-C1171044
2.28,7.04,ELLE VIRE MG,Crèmes fraîches,Crèmes entières,https://www.auchan.fr/elle-vire-creme-fraiche-epaisse-entiere-30-mg/pr-C1177401
5.16,8.6,PRESIDENT MG UHT,Crèmes semi-épaisses,Crèmes légères,https://www.auchan.fr/president-secret-de-creme-semi-epaisse-legere-25-mg-uht/pr-C1169267
3.16,6.32,BRIDELICE MG UHT,Crèmes légères,Crèmes liquides,https://www.auchan.fr/bridelice-creme-semi-epaisse-legere-18-mg-uht/pr-C1177888
0.72,3.6,POUCE MG,Crèmes légères,Crèmes liquides,https://www.auchan.fr/pouce-creme-fluide-legere-15-mg/pr-C1175848
4.65,7.75,AUCHAN MG UHT,Crèmes entières,Crèmes liquides,https://www.auchan.fr/auchan-creme-semi-epaisse-entiere-30-mg-uht/pr-C1175654
3.38,5.63,ELLE VIRE MG UHT,Crèmes extra-légères,Succédanés de la crème,https://www.auchan.fr/elle-vire-creme-semi-epaisse-legere-4-mg-uht/pr-C1177810
3.45,5.75,AUCHAN SOLIDAIRES CULTIVONS LE BON MG UHT,Crèmes légères,Crèmes,https://www.auchan.fr/auchan-solidaires-cultivons-le-bon-creme-semi-epaisse-legere-18-mg-uht/pr-C1353275
4.45,8.9,PRESIDENT MG,Surgelés,,https://www.auchan.fr/president-creme-semi-epaisse-entiere-gastronomique-30-mg/pr-C1174614
2.43,4.05,AUCHAN,Crèmes légères,Crèmes liquides,https://www.auchan.fr/auchan-creme-legere-semi-epaisse-18/pr-C1307256
2.97,4.95,BRIDELICE MG UHT,Crèmes UHT,Crème de lait semi-épaisse,https://www.auchan.fr/bridelice-creme-semi-epaisse-legere-18-mg-uht/pr-C1169618
3.62,7.24,ELLE VIRE,Crèmes semi-épaisses,Crèmes entières,https://www.auchan.fr/elle-vire-creme-entiere-semi-epaisse-en-bouteille/pr-C1176615
3.57,5.95,ELLE VIRE MG,Crèmes entières,Crèmes liquides,https://www.auchan.fr/elle-vire-creme-entiere-de-normandie-fluide-et-onctueuse-30-mg/pr-C1175595
2.98,4.97,AUCHAN SOLIDAIRES CULTIVONS LE BON MG UHT,fr:Crèmes légères,,https://www.auchan.fr/auchan-solidaires-cultivons-le-bon-creme-fluide-legere-15-mg-uht/pr-C1307679
2.65,6.97,YOPLAIT MG,Crèmes fleurettes,Crèmes entières,https://www.auchan.fr/yoplait-creme-fraiche-fleurette-entiere-30-mg/pr-C1171103
4.62,7.7,AUCHAN SOLIDAIRES BIO CULTIVONS LE BON MG UHT,Crèmes entières,Crèmes liquides,https://www.auchan.fr/auchan-solidaires-bio-cultivons-le-bon-creme-fluide-entiere-30-mg-uht/pr-C1307667
2.45,7.42,ELLE VIRE MG,Crèmes fraîches,Crèmes fleurettes,https://www.auchan.fr/elle-vire-creme-fleurette-entiere-31-mg/pr-C1170573
5.75,5.75,ELLE VIRE MG UHT,Crèmes entières,Crèmes liquides,https://www.auchan.fr/elle-vire-creme-fluide-entiere-30-mg-uht/pr-C1178090
3.08,5.13,AUCHAN MG UHT,Crèmes entières,Crèmes liquides,https://www.auchan.fr/auchan-creme-fluide-entiere-30-mg-uht/pr-C1177912
0.8,4.0,POUCE MG UHT,Surgelés,Crèmes entières,https://www.auchan.fr/pouce-creme-fluide-30-mg-uht/pr-C1170598
5.32,5.32,AUCHAN MG UHT,Crèmes liquides,Crèmes UHT,https://www.auchan.fr/auchan-creme-fluide-entiere-30-mg-uht/pr-C1176624
4.1,6.83,AUCHAN SOLIDAIRES BIO CULTIVONS LE BON MG UHT,Crèmes légères,Crèmes,https://www.auchan.fr/auchan-solidaires-bio-cultivons-le-bon-creme-fluide-legere-15-mg-uht/pr-C1307666
3.23,5.38,BRIDELICE MG UHT,Crèmes légères,Crèmes liquides,https://www.auchan.fr/bridelice-creme-fluide-legere-12-mg-uht/pr-C1169619
2.89,4.82,ELLE VIRE MG UHT,Crèmes extra-légères,Spécialité à base de crème légère fluide à 8% de matières grasses,https://www.auchan.fr/elle-vire-creme-fluide-legere-4-mg-uht/pr-C1177832
1.99,4.98,CANDIA M G,fr:Crèmes légères,,https://www.auchan.fr/candia-creme-legere-ideale-en-cuisson-18-m-g/pr-C1517934
3.56,7.12,AUCHAN MG UHT,Crèmes entières,Crèmes liquides,https://www.auchan.fr/auchan-creme-fluide-entiere-30-mg-uht/pr-C1175782
1.87,3.74,AUCHAN UHT,Sauces béchamel,Sauces,https://www.auchan.fr/auchan-sauce-bechamel-uht/pr-C1177164
4.4,11.0,ISIGNY STE MERE AOP,Crèmes fraîches,Crème Fraîche d'Isigny,https://www.auchan.fr/isigny-ste-mere-creme-fraiche-de-normandie-epaisse-aop/pr-C1178139
2.46,7.45,ELLE VIRE,Sauces béchamel,Sauces,https://www.auchan.fr/elle-vire-sauce-bechamel-au-lait-entier/pr-C1177356
1.62,3.24,AUCHAN UHT,Crèmes anglaises,Sauces dessert,https://www.auchan.fr/auchan-creme-anglaise-saveur-vanille-uht/pr-C1177163
3.36,16.8,LA VACHE QUI RIT,Fromages,Produits laitiers fermentés,https://www.auchan.fr/la-vache-qui-rit-cuisine-sauce-fromagere-nature/pr-C1540459
2.34,9.36,AUCHAN,Crèmes sous pression UHT,Crèmes sous pression,https://www.auchan.fr/auchan-creme-fouettee-entiere-sucree-a-la-vanille/pr-C1168168
2.22,8.88,AUCHAN UHT,Crèmes fouettées,Crèmes,https://www.auchan.fr/auchan-creme-fouettee-legere-sucree-et-vanillee-20-uht/pr-C1175002
3.35,13.4,ISIGNY STE MERE UHT,Crèmes fouettées,Crèmes sous pression,https://www.auchan.fr/isigny-ste-mere-creme-fouettee-a-la-vanille-de-madagascar-uht/pr-C1159590
3.43,13.72,BRIDELICE MG UHT,Crème légère stérilisée UHT,Crèmes légères,https://www.auchan.fr/bridelice-creme-fouettee-legere-en-bombe-20-mg-uht/pr-C1161752
3.09,3.09,AUCHAN BIO,Boissons végétales de noisette,Boissons végétales de fruits à coque,https://www.auchan.fr/auchan-bio-boisson-vegetale-a-base-de-noisette/pr-C1273651
2.46,2.46,AUCHAN,Boissons avec sucre ajouté,Boissons végétales de noisette,https://www.auchan.fr/auchan-boisson-vegetale-a-base-de-noisette/pr-C1169975
1.82,1.82,ALPRO,Coconut-based drinks,,https://www.auchan.fr/alpro-boisson-vegetale-lait-de-coco/pr-C1174926
3.28,3.28,BJORG,Plant-based milk alternatives,Plant-based beverages,https://www.auchan.fr/bjorg-boisson-vegetale-3-noix-bio-sans-sucres-ajoutes/pr-C1623797
1.89,1.89,SOJASUN,Hülsenfrüchte und Hülsenfruchtprodukte,Pflanzliche Lebensmittel,https://www.auchan.fr/sojasun-boisson-de-soja-nature/pr-C1178025
2.2,8.8,AUCHAN,Mascarpone,Fromages à la crème,https://www.auchan.fr/auchan-mascarpone/pr-C1196363
4.2,8.4,AUCHAN,Creme pasterisee,Mascarpone,https://www.auchan.fr/auchan-mascarpone/pr-C1196362
2.01,16.75,CHARAL,Sauce au poivre condimentaire froide,Sauces au poivre,https://www.auchan.fr/charal-sauce-3-poivres/pr-C1201264
2.48,14.59,SELECT MAREE,Sauces hollandaise,Sauces,https://www.auchan.fr/select-maree-sauce-hollandaise/pr-C1625497
3.93,4.37,DANAO,Boissons au fruit et au lait,Boissons aux fruits,https://www.auchan.fr/danao-boisson-au-jus-de-peche-abricot-et-lait/pr-C1183837
3.02,3.02,AUCHAN BIO,Laits d'amande,Boissons végétales de fruits à coque,https://www.auchan.fr/auchan-bio-boisson-lait-d-amande-gout-intense/pr-C1262853
3.29,3.29,BJORG,Laits d'amande natures sucrés,Laits d'amande,https://www.auchan.fr/bjorg-boisson-vegetale-bio-d-amande/pr-C1261947
1.78,1.78,AUCHAN BIO,Boissons végétales de soja au chocolat,Boissons végétales de soja,https://www.auchan.fr/auchan-bio-boisson-au-soja-saveur-chocolat/pr-C1259484
3.98,3.98,BJORG,Boissons avec sucre ajouté,Boissons végétales de noisette,https://www.auchan.fr/bjorg-boisson-vegetale-noisette-bio/pr-C1259705
4.07,4.07,BJORG,Vanilla almond-based drinks,Sweetened beverages,https://www.auchan.fr/bjorg-lait-d-amande-vanille-calcium-bio/pr-C1265842
3.16,3.16,BJORG,Boissons à l'avoine,Biscuits au chocolat au lait,https://www.auchan.fr/bjorg-boisson-vegetale-a-l-avoine-bio-sans-sucres/pr-C1397322
3.79,3.79,BJORG,Laits d'amande natures sucrés,Laits d'amande,https://www.auchan.fr/bjorg-boisson-d-amande-intense-bio/pr-C1259203
1.36,1.36,AUCHAN BIO,Boissons de soja nature non sucrées,Boissons végétales de soja,https://www.auchan.fr/auchan-bio-boisson-soja-nature/pr-C1259483
2.06,2.06,AUCHAN BIO,Boissons végétales de riz nature,Boissons sans sucre ajouté,https://www.auchan.fr/auchan-bio-boisson-au-riz-arroz/pr-C1260320
2.04,2.04,AUCHAN BIO,Boissons végétales de soja à la vanille,Boissons avec sucre ajouté,https://www.auchan.fr/auchan-bio-boisson-au-soja-saveur-vanille/pr-C1259485
3.9,3.9,BJORG,Laits d'amande au chocolat,Laits d'amande,https://www.auchan.fr/bjorg-lait-d-amande-chocolat-calcium-bio/pr-C1265841
2.39,2.39,BJORG,Boissons végétales de soja,Boissons végétales de légumineuses,https://www.auchan.fr/bjorg-boisson-vegetale-soja-douceur-bio/pr-C1274521
4.93,8.22,BJORG,Sweetened beverages,Chocolate almond-based drinks,https://www.auchan.fr/bjorg-lait-d-amande-chocolat-calcium-bio/pr-C1265188
2.46,2.46,BJORG,Boissons multivégétaux,Boissons végétales,https://www.auchan.fr/bjorg-boisson-vegetale-bio-a-base-de-riz-coco-et-soja/pr-C1397657
4.04,8.08,KARA,Laits et crèmes de coco,Crèmes végétales pour cuisiner,https://www.auchan.fr/kara-lait-de-coco-fluide-brique/pr-C1225463
2.92,14.6,KARA,Laits et crèmes de coco,Crèmes végétales à base de coco pour cuisiner,https://www.auchan.fr/kara-creme-de-coco-bio-brique/pr-C1224103
7.04,4.4,CACOLAC,Boisson à base de produits laitiers,Laits,https://www.auchan.fr/cacolac-boisson-au-lait-et-au-cacao-bouteilles/pr-C1206406
1.58,7.9,KARA,Laits et crèmes de coco,Crèmes végétales pour cuisiner,https://www.auchan.fr/kara-lait-de-coco-fluide-brique/pr-C1227080
2.51,12.55,KARA,Coconut milks and creams,Coconut-based creams for cooking,https://www.auchan.fr/kara-creme-de-coco-90-d-extrait-de-coco-fraiche-brique/pr-C1224807
1.9,1.9,AUCHAN BIO,Laits d'amande,Boissons végétales de fruits à coque,https://www.auchan.fr/auchan-bio-boisson-lait-d-amande-sans-sucres-ajoutes/pr-C1268679
2.4,2.4,BJORG,Unsweetened plain almond-based drinks,Almond-based drinks,https://www.auchan.fr/bjorg-lait-d-amande-calcium-bio-sans-sucres/pr-C1262496
2.06,2.06,AUCHAN BIO,Boissons sans sucre ajouté,Boissons à l'avoine,https://www.auchan.fr/auchan-bio-boisson-avoine/pr-C1260754
2.76,2.76,BJORG,Boissons-vegetales-a-base-d-avoine,Boissons sans sucre ajouté,https://www.auchan.fr/bjorg-boisson-vegetale-avoine-bio-sans-sucres-ajoutes/pr-C1263864
2.3,9.2,PRIMEVERE,Margarines allégées,Margarines,https://www.auchan.fr/primevere-margarine-doux-pour-tartine/pr-C1169536
2.46,4.92,AUCHAN,Margarines riche en oméga 3,Margarines,https://www.auchan.fr/auchan-margarine-omega-3-doux/pr-C1361355
1.99,9.95,PRESIDENT MG,Beurre,Beurre à 60-62% MG à teneur réduite en matière grasse doux,https://www.auchan.fr/president-beurre-doux-allege-60-mg/pr-C1771411
2.5,10.0,AUCHAN,Beurres de crème douce,Beurres pasteurisés,https://www.auchan.fr/auchan-beurre-doux/pr-C1177952
3.64,14.56,PRESIDENT,Beurre,Unsalted butters,https://www.auchan.fr/president-beurre-gastronomique-doux/pr-C1161754
3.93,15.72,PRESIDENT,Sweet cream butters,Butters,https://www.auchan.fr/president-la-motte-beurre-tendre/pr-C1177988
3.07,12.79,BOURSIN,Salsas con queso,Salsas,https://www.auchan.fr/boursin-cuisine-creme-culinaire-a-l-ail-et-aux-fines-herbes/pr-C1315247
2.12,3.53,AUCHAN MG UHT,Crèmes légères,Crèmes liquides,https://www.auchan.fr/auchan-creme-fluide-legere-15-mg-uht/pr-C1177970
2.45,4.9,AUCHAN MG,Crèmes fraîches,Crèmes entières,https://www.auchan.fr/auchan-creme-fraiche-epaisse-entiere-30-mg/pr-C1177978
1.22,6.1,AUCHAN MG,Crèmes fraîches,Crèmes entières,https://www.auchan.fr/auchan-creme-fraiche-epaisse-entiere-30-mg/pr-C1177977
2.49,2.49,ALPRO,Sweetened plain soy-based drinks,Soy-based drinks,https://www.auchan.fr/alpro-boisson-vegetale-soja/pr-C1174930
