Price,Price per Unit,Brand,category,Description,URL
2.2,3.67,franprix bio,Mélanges de légumes surgelés,Mélanges de légumes,https://www.franprix.fr/courses/p/melange-legumes-bio-99179202
1.95,9.75,Kara,Coconut milks and creams,Plant based creams for cooking,https://www.franprix.fr/courses/p/lait-de-coco-bio-99172021
1.7,17.0,franprix bio,Galettes de riz au chocolat noir,Galettes de riz soufflé,https://www.franprix.fr/courses/p/galettes-de-riz-chocolat-noir-bio-99177672
4.95,6.6,franprix,Côtes du Rhône Villages,Côtes du Rhône,https://www.franprix.fr/courses/p/cotes-du-rhone-bio-vin-rouge-99144389
3.8,7.6,Bjorg,Wholemeal breads,Breads,https://www.franprix.fr/courses/p/pain-complet-3-cereales-bio-99068847
2.89,2.89,Matin leger,Laits écrémés UHT,Laits à teneur réduite en lactose,https://www.franprix.fr/courses/p/lait-ecreme-sans-lactose-bio-99160194
1.65,16.5,franprix bio,Galettes de riz au chocolat au lait,Galettes de riz soufflé,https://www.franprix.fr/courses/p/galettes-de-riz-chocolat-lait-bio-99177671
1.9,7.6,franprix bio,Yaourts au lait de brebis,Yaourts natures,https://www.franprix.fr/courses/p/yaourt-brebis-nature-bio-99142188
3.25,13.0,Céréal bio,Lentilles préparées,Plats préparés d'origine végétale,https://www.franprix.fr/courses/p/melange-lentilles-riz-et-soja-bio-99116975
2.2,4.4,Jardin Bio,Epicerie,Coulis de tomates,https://www.franprix.fr/courses/p/coulis-de-tomate-bio-99055045
2.41,18.54,Bjorg,Galettes de maïs soufflé,Galettes de céréales soufflées,https://www.franprix.fr/courses/p/galettes-mais-extra-fines-bio-99139757
4.75,29.69,Atelier Blini,Houmous classiques,Houmous,https://www.franprix.fr/courses/p/houmous-bio-99133853
5.45,54.5,Delpierre,Gambas,Crevettes,https://www.franprix.fr/courses/p/crevettes-decortiquees-bio-99129908
11.85,15.8,Terra delyssa,Virgin olive oils,Olive oils from Tunisia,https://www.franprix.fr/courses/p/huile-dolive-vierge-extra-bio-99117941
2.18,4.36,Ethiquable,Sucres complets,Sucres de canne,https://www.franprix.fr/courses/p/sucre-canne-complet-equitable-du-perou-bio-99061896
2.4,6.0,franprix bio,Compotes sans sucres,Compotes de pomme,https://www.franprix.fr/courses/p/compote-pomme-sans-sucres-ajoutes-bio-99166031
2.55,6.38,franprix bio,Compotes pommes poires,Compotes de pomme,https://www.franprix.fr/courses/p/compote-pomme-poire-sans-sucres-ajoutes-bio-99166032
