Category_0;Category_1;Category_2;Category_3
boucherie volaille poissonnerie;boucherie;saucisses merguez;saucisses fumees specialites regionales
boucherie volaille poissonnerie;boucherie;saucisses merguez;chairs et farces
boucherie volaille poissonnerie;boucherie;saucisses merguez;boudins
boucherie volaille poissonnerie;boucherie;barbecue grillades;saucisses merguez
boucherie volaille poissonnerie;boucherie;barbecue grillades;viandes a griller
boucherie volaille poissonnerie;boucherie;barbecue grillades;brochettes
boucherie volaille poissonnerie;volaille lapin;poulet;decoupes de poulet
boucherie volaille poissonnerie;volaille lapin;poulet;poulets entiers
boucherie volaille poissonnerie;volaille lapin;poulet;volailles preparees
boucherie volaille poissonnerie;volaille lapin;canard lapin;canard
boucherie volaille poissonnerie;poissons crustaces;filets paves de poisson;saumon truite
boucherie volaille poissonnerie;poissons crustaces;filets paves de poisson;cabillaud merlan
boucherie volaille poissonnerie;poissons crustaces;filets paves de poisson;autres poissons
boucherie volaille poissonnerie;poissons crustaces;filets paves de poisson;poissons panes
boucherie volaille poissonnerie;poissons crustaces;saumon truite fumes;truite fumee
boucherie volaille poissonnerie;poissons crustaces;saumon truite fumes;saumon fume
boucherie volaille poissonnerie;traiteur de la mer;saumons truites fumes;saumon fume
boucherie volaille poissonnerie;traiteur de la mer;saumons truites fumes;truite fumee
boucherie volaille poissonnerie;traiteur de la mer;anchois tartinables blinis;rillettes tartinables
boucherie volaille poissonnerie;traiteur de la mer;anchois tartinables blinis;blinis
charcuterie traiteur pain;charcuterie;jambon cru charcuteries en tranche;plateaux de charcuterie chiffonades
charcuterie traiteur pain;charcuterie;jambon cru charcuteries en tranche;bacon rosette saucisson chorizo
charcuterie traiteur pain;charcuterie;jambon cru charcuteries en tranche;mortadelle coppa grison
charcuterie traiteur pain;charcuterie;jambon cru charcuteries en tranche;jambon cru sec fume
charcuterie traiteur pain;charcuterie;jambon de volaille eminces;jambon de volaille roti
charcuterie traiteur pain;charcuterie;jambon de volaille eminces;eminces des de volaille
charcuterie traiteur pain;charcuterie;jambon blanc roti haches;jambon blanc
charcuterie traiteur pain;charcuterie;jambon blanc roti haches;roti
charcuterie traiteur pain;charcuterie;jambon blanc roti haches;haches jambon a poeler
charcuterie traiteur pain;charcuterie;lardons des eminces;des rapes eminces
charcuterie traiteur pain;charcuterie;lardons des eminces;bacon
charcuterie traiteur pain;charcuterie;lardons des eminces;lardons allumettes poitrine
charcuterie traiteur pain;charcuterie;rillettes pates foie gras;foie gras
charcuterie traiteur pain;charcuterie;rillettes pates foie gras;pates
charcuterie traiteur pain;charcuterie;rillettes pates foie gras;rillettes
charcuterie traiteur pain;charcuterie;saucissons chorizos entiers;saucisson sec entier fuet
charcuterie traiteur pain;charcuterie;saucissons chorizos entiers;chorizo
charcuterie traiteur pain;charcuterie;saucissons chorizos entiers;cervelas saucissons a l ail
charcuterie traiteur pain;charcuterie;knacks saucisses;knacks
charcuterie traiteur pain;charcuterie;knacks saucisses;saucisses boudins andouillettes
charcuterie traiteur pain;traiteur;selection du traiteur;aperitifs entrees
charcuterie traiteur pain;traiteur;selection du traiteur;salade de crudites taboules
charcuterie traiteur pain;traiteur;selection du traiteur;pizza quiches croques monsieur
charcuterie traiteur pain;traiteur;selection du traiteur;traiteur du monde
charcuterie traiteur pain;traiteur;selection du traiteur;pates fraiches gnocchis
charcuterie traiteur pain;traiteur;selection du traiteur;plats cuisines
charcuterie traiteur pain;traiteur;salades de crudites taboules;taboules
charcuterie traiteur pain;traiteur;salades de crudites taboules;salade de crudites
charcuterie traiteur pain;traiteur;salades de crudites taboules;autres salades
charcuterie traiteur pain;traiteur;pates fraiches gnocchis quenelles;gnocchis
charcuterie traiteur pain;traiteur;pates fraiches gnocchis quenelles;pates fraiches
charcuterie traiteur pain;traiteur;pates fraiches gnocchis quenelles;pates fraiches farcies
charcuterie traiteur pain;traiteur;pates fraiches gnocchis quenelles;quenelles
